perf,e,d,seed
0.6914917050801882,,,42
0.6846853092288485,50.0,0.1,42
0.6870891553826947,50.0,0.01,42
0.6842801666186498,50.0,0.001,42
0.6870891553826947,50.0,0.0001,42
0.6894930015365409,10.0,0.1,42
0.6842801666186498,10.0,0.01,42
0.6846853092288485,10.0,0.001,42
0.679129753673293,10.0,0.0001,42
0.6922395683280514,5.0,0.1,42
0.6846853092288485,5.0,0.01,42
0.6870891553826947,5.0,0.001,42
0.6926447109382502,5.0,0.0001,42
0.6874942979928935,1.0,0.1,42
0.7194432440218956,1.0,0.01,42
0.6846853092288485,1.0,0.001,42
0.6707027873811582,1.0,0.0001,42
0.7154812493997887,0.1,0.1,42
0.672808028426006,0.1,0.01,42
0.6669721742053203,0.1,0.001,42
0.5421507370594449,0.1,0.0001,42
0.6917500960338039,,,43
0.6403119898204168,50.0,0.1,43
0.6403119898204168,50.0,0.01,43
0.6403119898204168,50.0,0.001,43
0.6246869898204168,50.0,0.0001,43
0.6375030010563718,10.0,0.1,43
0.6246869898204168,10.0,0.01,43
0.632352588111015,10.0,0.001,43
0.6218780010563718,10.0,0.0001,43
0.6542320896955729,5.0,0.1,43
0.6375030010563718,5.0,0.01,43
0.6375030010563718,5.0,0.001,43
0.6319474455008163,5.0,0.0001,43
0.6375030010563718,1.0,0.1,43
0.6430585566119275,1.0,0.01,43
0.6347564342648613,1.0,0.001,43
0.6038845673677133,1.0,0.0001,43
0.6645953375588207,0.1,0.1,43
0.5788485546912513,0.1,0.01,43
0.48386091904350337,0.1,0.001,43
0.42244279986555267,0.1,0.0001,43
0.742636007874772,,,44
0.7610699966388168,50.0,0.1,44
0.7558571617209258,50.0,0.01,44
0.7402321617209258,50.0,0.001,44
0.7638789854028618,50.0,0.0001,44
0.7402321617209258,10.0,0.1,44
0.7586661504849708,10.0,0.01,44
0.7406373043311245,10.0,0.001,44
0.7666879741669068,10.0,0.0001,44
0.7478353380389897,5.0,0.1,44
0.7534533155670795,5.0,0.01,44
0.7406373043311245,5.0,0.001,44
0.7638789854028618,5.0,0.0001,44
0.7386386007874772,1.0,0.1,44
0.7462552818592145,1.0,0.01,44
0.7482404806491885,1.0,0.001,44
0.7534533155670795,1.0,0.0001,44
0.7302251392490158,0.1,0.1,44
0.7118400677038317,0.1,0.01,44
0.6191095265533468,0.1,0.001,44
0.7137274320560838,0.1,0.0001,44
0.7326154806491885,,,45
0.7305543551330068,50.0,0.1,45
0.7253415202151158,50.0,0.01,45
0.7285556515893595,50.0,0.001,45
0.7308970757706713,50.0,0.0001,45
0.7197235426870259,10.0,0.1,45
0.7301492125228081,10.0,0.01,45
0.7309594977432057,10.0,0.001,45
0.732958201286853,10.0,0.0001,45
0.7281505089791607,5.0,0.1,45
0.722127388840872,5.0,0.01,45
0.7313022183808701,5.0,0.001,45
0.7281505089791607,5.0,0.0001,45
0.7500300105637184,1.0,0.1,45
0.7138876884663401,1.0,0.01,45
0.7124630870066263,1.0,0.001,45
0.7071878301162009,1.0,0.0001,45
0.7402186569672524,0.1,0.1,45
0.6822814630750024,0.1,0.01,45
0.6788227456064535,0.1,0.001,45
0.6769131734370498,0.1,0.0001,45
0.70388066599443,,,46
0.7014768198405839,50.0,0.1,46
0.7042858086046287,50.0,0.01,46
0.7042858086046287,50.0,0.001,46
0.7014768198405839,50.0,0.0001,46
0.7018819624507827,10.0,0.1,46
0.7014768198405839,10.0,0.01,46
0.7018819624507827,10.0,0.001,46
0.7014768198405839,10.0,0.0001,46
0.7018819624507827,5.0,0.1,46
0.7042858086046287,5.0,0.01,46
0.7018819624507827,5.0,0.001,46
0.7014768198405839,5.0,0.0001,46
0.7018819624507827,1.0,0.1,46
0.7066272327859406,1.0,0.01,46
0.7274650677038317,1.0,0.001,46
0.691064654758475,1.0,0.0001,46
0.7034755233842312,0.1,0.1,46
0.6907708513396716,0.1,0.01,46
0.6970253529242293,0.1,0.001,46
0.6728887568424085,0.1,0.0001,46
